x, y, z
-121.15, -23.11, 141.89
-123.24, -26.03, 144.90
-123.35, -28.59, 145.66
-125.31, -31.65, 148.68
-124.53, -34.59, 148.68
-125.71, -37.60, 150.94
-133.07, -42.66, 160.75
-152.69, -52.28, 185.66
-157.18, -57.29, 192.45
-159.09, -61.55, 196.22
-159.67, -65.40, 198.49
-161.97, -70.09, 203.02
-163.25, -75.26, 206.79
-164.10, -79.59, 209.81
-164.26, -83.69, 212.07
-162.58, -86.90, 212.07
-160.13, -91.34, 212.07
-157.75, -94.13, 211.32
-155.87, -97.21, 211.32
-153.93, -100.25, 211.32
-155.19, -105.47, 215.85
-156.83, -111.15, 221.13
-158.32, -116.93, 226.41
-159.15, -123.45, 231.70
-160.26, -129.43, 236.98
-161.71, -135.93, 243.02
-162.47, -142.10, 248.30
-164.01, -149.24, 255.09
-164.39, -155.59, 260.37
-160.83, -158.32, 259.62
-158.43, -163.48, 261.88
-153.40, -164.64, 258.87
-150.57, -168.11, 259.62
-147.24, -171.03, 259.62
-143.44, -173.39, 258.87
-140.41, -176.68, 259.62
-136.92, -179.41, 259.62
-131.94, -183.10, 259.62
-128.69, -186.20, 260.37
-124.28, -187.59, 258.87
-120.58, -190.00, 258.87
-116.48, -191.77, 258.11
-111.60, -193.89, 257.36
-108.41, -197.19, 258.87
-104.21, -198.70, 258.11
-100.29, -200.71, 258.11
-96.05, -202.05, 257.36
-92.06, -203.90, 257.36
-88.04, -205.66, 257.36
-83.74, -206.74, 256.60
-79.66, -208.35, 256.60
-74.73, -210.17, 256.60
-70.59, -211.59, 256.60
-66.23, -212.31, 255.85
-62.23, -214.20, 256.60
-57.84, -214.75, 255.85
-52.77, -216.05, 255.85
-48.23, -215.77, 254.34
-43.52, -218.77, 256.60
-38.87, -217.65, 254.34
-34.48, -217.72, 253.58
-29.26, -217.82, 252.83
-24.90, -217.70, 252.07
-20.62, -218.15, 252.07
-16.33, -218.51, 252.07
-12.00, -218.14, 251.32
-7.72, -218.33, 251.32
-3.43, -218.44, 251.32
1.70, -216.49, 249.05
5.93, -215.76, 248.30
10.17, -215.60, 248.30
14.31, -214.05, 246.79
18.51, -213.73, 246.79
22.77, -213.98, 247.54
26.97, -213.49, 247.54
31.99, -212.80, 247.54
35.94, -210.83, 246.04
38.60, -202.35, 236.98
41.08, -194.50, 228.68
42.93, -181.98, 215.09
45.39, -173.94, 206.79
46.84, -166.07, 198.49
48.94, -161.35, 193.96
50.28, -154.74, 187.17
51.16, -147.52, 179.62
52.45, -142.18, 174.34
53.32, -136.24, 168.30
55.50, -132.52, 165.28
56.50, -127.81, 160.75
57.06, -122.51, 155.47
58.12, -119.83, 153.21
59.13, -114.93, 148.68
60.13, -111.43, 145.66
60.69, -107.38, 141.89
60.85, -101.97, 136.60
61.10, -97.97, 132.83
63.01, -96.76, 132.83
65.27, -96.04, 133.58
67.90, -95.81, 135.09
69.77, -94.46, 135.09
70.41, -91.51, 132.83
72.14, -89.32, 132.07
73.37, -86.59, 130.56
75.06, -85.14, 130.56
77.16, -84.13, 131.32
77.89, -81.65, 129.81
80.26, -80.26, 130.56
81.82, -78.66, 130.56
84.31, -77.93, 132.07
84.84, -75.39, 130.56
87.30, -74.56, 132.07
87.74, -72.00, 130.56
88.62, -69.86, 129.81
90.24, -67.75, 129.81
91.02, -65.58, 129.06
93.37, -64.53, 130.56
92.98, -61.60, 128.30
95.28, -60.46, 129.81
97.01, -58.92, 130.56
97.58, -56.68, 129.81
98.88, -54.36, 129.81
99.35, -52.11, 129.06
100.94, -50.44, 129.81
82.36, -39.15, 104.90
44.25, -19.98, 55.85
41.08, -17.40, 51.32
39.04, -15.46, 48.30
41.18, -15.38, 50.57
39.62, -13.91, 48.30
40.45, -13.50, 49.06
40.13, -12.35, 48.30
39.78, -11.22, 47.55
40.63, -10.60, 48.30
41.47, -9.96, 49.06
40.37, -8.86, 47.55
40.54, -8.06, 47.55
41.33, -7.38, 48.30
40.82, -6.47, 47.55
44.21, -5.94, 51.32
44.97, -5.14, 52.07
41.15, -3.89, 47.55
32.06, -2.40, 36.98
37.34, -2.05, 43.02
36.72, -1.30, 42.26
33.45, -0.53, 38.49
31.45, 0.25, 34.93
34.11, 0.94, 37.90
32.08, 1.51, 35.67
29.38, 1.96, 32.70
32.65, 2.96, 36.41
32.58, 3.73, 36.41
32.50, 4.36, 36.41
29.76, 4.59, 33.44
34.28, 5.98, 38.64
30.87, 6.01, 34.93
31.40, 6.76, 35.67
34.52, 8.14, 39.39
44.67, 11.66, 51.28
43.79, 12.35, 50.53
42.90, 13.01, 49.79
43.27, 14.06, 50.53
42.99, 14.91, 50.53
43.32, 15.98, 51.28
41.12, 16.10, 49.05
42.59, 17.84, 51.28
41.62, 18.40, 50.53
41.25, 19.21, 50.53
40.26, 19.72, 49.79
41.06, 21.12, 51.28
40.63, 21.92, 51.28
39.61, 22.39, 50.53
39.16, 23.16, 50.53
38.04, 23.72, 49.79
37.01, 24.10, 49.05
37.08, 25.20, 49.79
36.48, 26.07, 49.79
35.85, 26.92, 49.79
35.42, 27.48, 49.79
35.29, 28.73, 50.53
35.74, 30.28, 52.02
42.16, 37.17, 62.42
48.82, 44.78, 73.57
46.48, 44.34, 71.34
43.53, 43.53, 68.37
45.45, 47.27, 72.83
43.15, 46.68, 70.60
42.67, 48.02, 71.34
41.28, 48.34, 70.60
40.33, 49.14, 70.60
38.94, 49.40, 69.86
38.57, 51.37, 71.34
44.20, 61.35, 83.98
44.89, 64.95, 87.69
45.09, 68.05, 90.66
49.48, 77.97, 102.55
50.02, 82.35, 107.01
57.81, 99.52, 127.82
54.48, 99.10, 125.59
